beta12,beta13,beta23,alpha,T1,T_Phi,T_alpha,certified_band_fraction,T_Phi_over_T_alpha,x1*,x2*,x3*
0.0158489319246,0.158489319246,2.51188643151,0.7,4.44742928136,525.235446394,4819.29350395,0.108162962852,0.108985984349,0.364114418701,0.319496699887,0.316388881413
0.0158489319246,0.158489319246,3.98107170553,0.7,6.34668115918,749.534551507,5179.94389881,0.143650121778,0.14469935701,0.379311385047,0.311886377813,0.30880223714
0.0158489319246,0.158489319246,6.3095734448,0.7,9.21660467473,1088.46867804,5725.54615306,0.188801583994,0.190107397433,0.399874227184,0.301585011609,0.298540761207
0.0158489319246,0.158489319246,10,0.7,13.5886408626,1604.80030099,6542.81172496,0.243706125466,0.245276857787,0.426410408943,0.28828514782,0.285304443238
0.0158489319246,0.158489319246,15.8489319246,0.7,20.2956684747,2396.89128635,7757.77513523,0.307153722099,0.30896632663,0.458983908573,0.271951194043,0.269064897384
0.0158489319246,0.158489319246,25.1188643151,0.7,30.6458793319,3619.23733751,9556.78218002,0.376710068479,0.378708781819,0.497031601176,0.252862332515,0.250106066309
0.0158489319246,0.158489319246,39.8107170553,0.7,46.6977220857,5514.93848549,12220.3749229,0.449185621829,0.451290448965,0.539430093556,0.23158000132,0.228989905123
0.0158489319246,0.158489319246,63.095734448,0.7,71.6948654663,8467.06766651,16176.9751263,0.521280764138,0.523402403749,0.584670075614,0.208860982352,0.206468942034
0.0158489319246,0.158489319246,100,0.7,110.754569933,13079.9664927,22087.1766538,0.590142101986,0.592197305145,0.631073762134,0.18554825508,0.183377982786
0.0158489319246,0.251188643151,0.251188643151,0.7,1.27298644232,150.337995275,4255.05600959,0.0350429272065,0.0353316137169,0.335047974048,0.335047974048,0.329904051903
0.0158489319246,0.251188643151,0.398107170553,0.7,1.5826573935,186.909720195,4295.04973094,0.0431648967202,0.0435174752107,0.337135394512,0.334003098587,0.3288615069
0.0158489319246,0.251188643151,0.63095734448,0.7,2.02040072956,238.606622377,4357.91357008,0.0543140551086,0.0547524907366,0.340363360125,0.332387127249,0.327249512625
0.0158489319246,0.251188643151,1,0.7,2.64738859358,312.653050057,4456.30811726,0.0696069324428,0.0701596572387,0.345290784577,0.329919950117,0.324789265305
0.0158489319246,0.251188643151,1.58489319246,0.7,3.55701556389,420.078777949,4609.40053418,0.0904333290312,0.0911352300227,0.352672794117,0.326222808828,0.321104397055
0.0158489319246,0.251188643151,2.51188643151,0.7,4.89282440792,577.836014795,4845.72266759,0.118356399408,0.119246612824,0.36344877425,0.320823903032,0.315727322718
0.0158489319246,0.251188643151,3.98107170553,0.7,6.87667803581,812.126473372,5207.0189544,0.154851493006,0.155967643,0.378653157828,0.313202572094,0.308144270078
0.0158489319246,0.251188643151,6.3095734448,0.7,9.8531088444,1163.63896868,5753.58535777,0.200877375517,0.202245886056,0.399230633138,0.302881478831,0.297887888031
0.0158489319246,0.251188643151,10,0.7,14.35922977,1695.80581972,6572.25527891,0.256400311525,0.258024946955,0.425791989543,0.289549109447,0.28465890101
